is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9673, 'India', 'Place']"
False,Business Taxonomy,Gaming Business,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,"[0.9607, 'India', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9681, 'India', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9668, 'India', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Tedros Adhanom Ghebreyesus,Politician,Tedros Adhanom Ghebreyesus,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Healthcare System in India,Unified Twitter Taxonomy,Political figures,"[0.9922, 'Bali', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Business Taxonomy,Financial Services Business,Person,Narendra Modi,Politician,Narendra Modi,Brand Vertical,Business & finance,Entities [Entity Service],Financial services,Brand,World Bank,
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political events,Unified Twitter Taxonomy,Indonesia politics,Unified Twitter Taxonomy,Indonesia political events,Unified Twitter Taxonomy,G20 Summit 2022,Person,Narendra Modi,
False,Person,Narendra Modi,Person,Macky Sall,Politician,Narendra Modi,Politician,Macky Sall,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,Politics,"[0.9207, 'India', 'Place']"
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political events,Unified Twitter Taxonomy,Indonesia politics,Unified Twitter Taxonomy,Indonesia political events,Unified Twitter Taxonomy,G20 Summit 2022,Person,Narendra Modi,"[0.9337, 'Mark Rutte', 'Person']"
False,Person,Rishi Sunak,Politician,Rishi Sunak,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,Unified Twitter Taxonomy,Rishi Sunak,Unified Twitter Taxonomy,United Kingdom politics,
False,Person,Joe Biden,Politician,Joe Biden,Unified Twitter Taxonomy,Joe Biden,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,Unified Twitter Taxonomy,Political events,"[0.9703, 'Bali', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.7202, 'Bali', 'Place']"
False,Person,Mahesh Babu,Person,Telugu cinema actors,Actor,Mahesh Babu,Actor,Telugu cinema actors,Movie Genre,Telugu cinema,Unified Twitter Taxonomy,Mahesh Babu,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Mahesh Babu,Person,Telugu cinema actors,Actor,Mahesh Babu,Actor,Telugu cinema actors,Movie Genre,Telugu cinema,Unified Twitter Taxonomy,Mahesh Babu,"[0.9586, 'Krishna Garu', 'Person']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Business Taxonomy,Technology Business,Entities [Entity Service],Technology,Entities [Entity Service],Organic,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Agricultural Industry in India,"[0.9879, 'India', 'Place']"
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political events,Unified Twitter Taxonomy,Indonesia politics,Unified Twitter Taxonomy,Indonesia political events,Unified Twitter Taxonomy,G20 Summit 2022,Person,Narendra Modi,"[0.9616, 'India', 'Place']"
False,Interests and Hobbies,Nature,Unified Twitter Taxonomy,Nature,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9897, 'Bali', 'Place']"
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political events,Unified Twitter Taxonomy,Indonesia politics,Unified Twitter Taxonomy,Indonesia political events,Unified Twitter Taxonomy,G20 Summit 2022,Person,Narendra Modi,"[0.9723, 'Bali', 'Place']"
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political events,Unified Twitter Taxonomy,Indonesia politics,Unified Twitter Taxonomy,Indonesia political events,Unified Twitter Taxonomy,G20 Summit 2022,Person,Narendra Modi,
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political events,Unified Twitter Taxonomy,Indonesia politics,Unified Twitter Taxonomy,Indonesia political events,Unified Twitter Taxonomy,G20 Summit 2022,Person,Narendra Modi,"[0.9166, 'Bali', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.6251, 'Pandit Jawaharlal Nehru Ji', 'Person']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.7235, 'MannKiBaat', 'Other']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.7226, 'Telangana', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9786, 'India', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9004, 'BJP', 'Organization']"
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Political Corruption Worldwide,Unified Twitter Taxonomy,News,Person,Narendra Modi,Politician,Narendra Modi,"[0.9587, 'BJP', 'Organization']"
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Economic Issues in India,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,"[0.9702, 'Hyderabad', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9501, 'BJP', 'Organization']"
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Economic Issues in India,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,"[0.9245, 'BJP', 'Organization']"
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Economic Issues in India,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,"[0.8874, 'Ramagundam', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Business Taxonomy,Food & Beverage Business,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,"[0.99, 'India', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9577, 'BJP', 'Organization']"
False,Unified Twitter Taxonomy,Visakhapatnam,Local News,Visakhapatnam,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,"[0.8953, 'Visakhapatnam', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.5369, 'Kashyap', 'Person']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Business Taxonomy,Food & Beverage Business,Business Taxonomy,Gaming Business,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,
False,Business Taxonomy,Food & Beverage Business,Business Taxonomy,Gaming Business,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Unified Twitter Taxonomy,Visakhapatnam,Local News,Visakhapatnam,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,"[0.9365, 'Karnataka', 'Place']"
False,Business Taxonomy,Food & Beverage Business,Business Taxonomy,Gaming Business,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,"[0.94, 'Karnataka', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.472, 'Vanakkam', 'Place']"
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Economic Issues in India,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,"[0.9863, 'Mahatma Gandhi', 'Person']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.7239, 'Gandhigram', 'Other']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.6804, 'Gandhigram', 'Other']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.7924, 'Gandhigram Rural Institute', 'Organization']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Infrastructure in India,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,"[0.9811, 'India', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.963, 'Bengaluru', 'Place']"
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Infrastructure in India,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,"[0.8501, 'Kempegowda International Airport', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9213, 'Karnataka', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.6821, 'Sri Nadaprabhu Kempegowda', 'Person']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9251, 'Bengaluru', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.8739, 'Bengaluru', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.4115, 'Chennai', 'Organization']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.5829, 'Maharshi Valmiki Ji', 'Person']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.6618, 'Kanaka Dasa Jayanti', 'Other']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Neiphiu Rio,Politician,Neiphiu Rio,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,Unified Twitter Taxonomy,Neiphiu Rio,Person,Narendra Modi,"[0.3148, 'Nagaland', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9857, 'Maulana Azad', 'Person']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.8159, 'Acharya Kripalani', 'Person']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.5289, 'Gandhigram Rural', 'Other']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9804, 'Bengaluru', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9815, 'Bengaluru', 'Place']"
False,Business Taxonomy,Travel & Transportation Business,Person,Narendra Modi,Politician,Narendra Modi,Entities [Entity Service],Travel,Interests and Hobbies,Travel Actions,Unified Twitter Taxonomy,Narendra Modi,"[0.7427, 'South', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Dharmendra Pradhan,Person,Jagat Prakash Nadda,Politician,Dharmendra Pradhan,Politician,Jagat Prakash Nadda,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.8733, 'Kempegowda International Airport', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Dharmendra Pradhan,Person,Jagat Prakash Nadda,Politician,Dharmendra Pradhan,Politician,Jagat Prakash Nadda,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political figures,"[0.4792, 'Kashi Tamil Sangam', 'Person']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Ongoing News Story,COVID-19,Unified Twitter Taxonomy,COVID-19,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Political issues,Unified Twitter Taxonomy,Political Corruption Worldwide,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.5392, 'DY Chandrachud', 'Person']"
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,News,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9776, 'BJP', 'Organization']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.8573, 'Uttarakhand', 'Place']"
False,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,Unified Twitter Taxonomy,India political figures,,,"[0.9444, 'Himachal Pradesh', 'Place']"
False,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,News,Person,Narendra Modi,Politician,Narendra Modi,Unified Twitter Taxonomy,Narendra Modi,Unified Twitter Taxonomy,India politics,
