is Elon Musk,context annotations domain 0,context annotations entity 0,context annotations domain 1,context annotations entity 1,context annotations domain 2,context annotations entity 2,context annotations domain 3,context annotations entity 3,context annotations domain 4,context annotations entity 4,context annotations domain 5,context annotations entity 5,annotations
False,Business Taxonomy,Publisher & News Business,News Vertical,Russia national news,Unified Twitter Taxonomy,Russia national news,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,"[0.662, 'US', 'Place']"
False,Person,Donald Trump,Person,Katie Hobbs,Person,Kari Lake,Events [Entity Service],2022 United States midterm elections,Events [Entity Service],"Arizona's gubernatorial election, 2022",Politician,Donald Trump,"[0.6878, 'CNN', 'Organization']"
False,Person,Rudy Giuliani,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,"[0.9598, 'Rudy Giuliani', 'Person']"
False,TV Shows,Live: Six Nations Rugby,Person,Donald Trump,Politician,Donald Trump,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Donald Trump,"[0.9197, 'Trump', 'Person']"
False,Events [Entity Service],January 6 Committee Hearings,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,US Political News,Unified Twitter Taxonomy,Political events,"[0.5452, 'Supreme Court', 'Place']"
False,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,Unified Twitter Taxonomy,University of Virginia,Colleges & Universities,University of Virginia,States,Virginia,Brand Vertical,Entertainment,"[0.9837, 'University of Virginia', 'Organization']"
False,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,News Vertical,Russia national news,Political Body,US Central Intelligence Agency,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,US Central Intelligence Agency,"[0.9653, 'CIA', 'Organization']"
False,Business Taxonomy,Publisher & News Business,Unified Twitter Taxonomy,University of Virginia,Colleges & Universities,University of Virginia,States,Virginia,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,"[0.9909, 'University of Virginia', 'Organization']"
False,Person,Volodymyr Zelensky,Sports League,EFL Championship,Politician,Volodymyr Zelensky,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,News Vertical,US Political News,"[0.9674, 'Ukraine', 'Place']"
False,Business Taxonomy,Publisher & News Business,News Vertical,Türkiye national news,Unified Twitter Taxonomy,Türkiye national news,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,"[0.957, 'Istanbul', 'Place']"
False,Person,Joe Biden,Events [Entity Service],2022 United States midterm elections,Events [Entity Service],"Nevada's U.S. Senate election, 2022",Politician,Joe Biden,Political Race,2022 United States midterm elections,Political Race,"Nevada's U.S. Senate election, 2022","[0.8798, 'Cortez Masto', 'Person']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,"[0.5112, 'Wings', 'Other']"
False,Business Taxonomy,Financial Services Business,Business Taxonomy,Publisher & News Business,Interests and Hobbies Category,Cryptocurrencies,Unified Twitter Taxonomy,Cryptocurrencies,Unified Twitter Taxonomy,Digital asset industry,Unified Twitter Taxonomy,Digital assets & cryptocurrency,
False,Business Taxonomy,Publisher & News Business,News Vertical,Russia national news,Unified Twitter Taxonomy,Russia national news,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,"[0.718, 'Freedom Square', 'Place']"
False,Person,Mark Kelly,Person,Blake Masters,Events [Entity Service],2022 United States midterm elections,Events [Entity Service],"Arizona's U.S. Senate election, 2022",Politician,Mark Kelly,Politician,Blake Masters,"[0.8285, 'CNN', 'Organization']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,"[0.6239, 'Gallagher', 'Person']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,"[0.8088, 'FTX', 'Other']"
False,Sports League,EFL Championship,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,News Vertical,US Political News,Ongoing News Story,Russo-Ukrainian conflict,Unified Twitter Taxonomy,EFL Championship,"[0.9309, 'Kherson city', 'Place']"
False,Business Taxonomy,Publisher & News Business,Unified Twitter Taxonomy,Weather,Unified Twitter Taxonomy,Tsunamis,Weather,Tsunamis,Emergency Events,Tsunamis,Brand Vertical,Entertainment,"[0.9781, 'Tonga', 'Place']"
False,Person,Benjamin Netanyahu,Politician,Benjamin Netanyahu,Business Taxonomy,Financial Services Business,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Politics,"[0.9816, 'Benjamin Netanyahu', 'Person']"
False,Sports League,EFL Championship,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,News Vertical,US Political News,News Vertical,Russia national news,Ongoing News Story,Russo-Ukrainian conflict,"[0.9546, 'Kherson', 'Place']"
False,Person,Joe Biden,Politician,Joe Biden,Business Taxonomy,Financial Services Business,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Joe Biden,"[0.9523, 'Biden', 'Person']"
False,Person,Alex Jones,Business Taxonomy,Publisher & News Business,Entertainment Personality,Alex Jones,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,"[0.9639, 'Alex Jones', 'Person']"
False,Person,Joe Biden,Politician,Joe Biden,Business Taxonomy,Publisher & News Business,News Vertical,China national news,News Vertical,US Political News,Unified Twitter Taxonomy,Joe Biden,"[0.9742, 'Joe Biden', 'Person']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,
False,Business Taxonomy,Publisher & News Business,Unified Twitter Taxonomy,Weather,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,"[0.3587, 'Hurricane Nicole', 'Other']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,"[0.6276, 'Nicole', 'Other']"
False,Sports League,EFL Championship,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,News Vertical,US Political News,News Vertical,Russia national news,Unified Twitter Taxonomy,EFL Championship,"[0.9813, 'Moscow', 'Place']"
False,Person,Donald Trump,Person,Laura Kelly,Person,Derek Schmidt,Events [Entity Service],2022 United States midterm elections,Events [Entity Service],"Kansas's gubernatorial election, 2022",Politician,Donald Trump,"[0.8284, 'CNN', 'Organization']"
False,Business Taxonomy,Publisher & News Business,States,Iowa,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,"[0.7958, 'Pieper Lewis', 'Person']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,"[0.5222, 'Meta', 'Other']"
False,Person,Donald Trump,Person,Chris Pappas,Events [Entity Service],2022 United States midterm elections,Politician,Donald Trump,Politician,Chris Pappas,Political Race,2022 United States midterm elections,"[0.743, 'CNN', 'Organization']"
False,Person,Brittney Griner,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,Athlete,Brittney Griner,News Vertical,Russia national news,Unified Twitter Taxonomy,Basketball,"[0.8658, 'US', 'Place']"
False,Person,Donald Trump,Person,Gretchen Whitmer,Person,Tudor Dixon,Events [Entity Service],2022 United States midterm elections,Politician,Donald Trump,Politician,Gretchen Whitmer,"[0.8402, 'CNN', 'Organization']"
False,Person,Donald Trump,Person,Tony Evers,Person,Tim Michels,Events [Entity Service],2022 United States midterm elections,Events [Entity Service],"Wisconsin's gubernatorial election, 2022",Politician,Donald Trump,"[0.8582, 'CNN', 'Organization']"
False,Person,John Fetterman,Person,John Fetterman,Person,Mehmet Oz,Events [Entity Service],2022 United States midterm elections,Events [Entity Service],"Pennsylvania's U.S. Senate election, 2022",Events [Entity Service],"Wisconsin's U.S. Senate election, 2022","[0.8116, 'CNN', 'Organization']"
False,Person,Donald Trump,Politician,Donald Trump,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Donald Trump,Unified Twitter Taxonomy,Politics,"[0.8413, 'CNN', 'Organization']"
False,Person,Nancy Pelosi,Events [Entity Service],2022 United States midterm elections,Politician,Nancy Pelosi,Political Race,2022 United States midterm elections,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,"[0.8924, 'CNN', 'Organization']"
False,Person,Donald Trump,Person,Lee Zeldin,Person,Kathy Hochul,Events [Entity Service],2022 United States midterm elections,Politician,Donald Trump,Politician,Lee Zeldin,"[0.8627, 'CNN', 'Organization']"
False,Person,Kevin McCarthy,Events [Entity Service],2022 United States midterm elections,Politician,Kevin McCarthy,Political Race,2022 United States midterm elections,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,"[0.9055, 'CNN', 'Organization']"
False,Person,Gavin Newsom,Events [Entity Service],2022 United States midterm elections,Politician,Gavin Newsom,Political Race,2022 United States midterm elections,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,"[0.8795, 'CNN', 'Organization']"
False,Person,Donald Trump,Person,Liz Cheney,Events [Entity Service],2022 United States midterm elections,Politician,Donald Trump,Politician,Liz Cheney,Political Race,2022 United States midterm elections,"[0.814, 'CNN', 'Organization']"
False,Person,Donald Trump,Person,J. D. Vance,Person,J.D. Vance,Events [Entity Service],2022 United States midterm elections,Politician,Donald Trump,Politician,J.D. Vance,"[0.864, 'CNN', 'Organization']"
False,Person,Donald Trump,Person,Josh Shapiro,Person,Douglas Mastriano,Events [Entity Service],2022 United States midterm elections,Events [Entity Service],"Pennsylvania's gubernatorial election, 2022",Politician,Donald Trump,"[0.8454, 'CNN', 'Organization']"
False,Person,Stacey Abrams,Person,Brian Kemp,Events [Entity Service],2022 United States midterm elections,Events [Entity Service],"Georgia's gubernatorial election, 2022",Politician,Stacey Abrams,Politician,Brian Kemp,"[0.8397, 'CNN', 'Organization']"
False,Events [Entity Service],2022 United States midterm elections,Political Race,2022 United States midterm elections,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Political Body,United States Congress,Unified Twitter Taxonomy,Politics,"[0.8219, 'CNN', 'Organization']"
False,Person,Maura Healey,Person,Geoff Diehl,Events [Entity Service],2022 United States midterm elections,Politician,Maura Healey,Politician,Geoff Diehl,Political Race,2022 United States midterm elections,"[0.7332, 'CNN', 'Organization']"
False,Events [Entity Service],2022 United States midterm elections,Political Race,2022 United States midterm elections,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Political Body,United States Congress,Unified Twitter Taxonomy,Politics,"[0.8046, 'CNN', 'Organization']"
False,Person,Donald Trump,Events [Entity Service],2022 United States midterm elections,Politician,Donald Trump,Political Race,2022 United States midterm elections,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,"[0.7912, 'CNN', 'Organization']"
False,Events [Entity Service],2022 United States midterm elections,Political Race,2022 United States midterm elections,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,United States politics,"[0.8349, 'CNN', 'Organization']"
False,Person,Val Demings,Events [Entity Service],2022 United States midterm elections,Events [Entity Service],"Florida's U.S. Senate election, 2022",Politician,Val Demings,Political Race,2022 United States midterm elections,Political Race,"Florida's U.S. Senate election, 2022","[0.8687, 'CNN', 'Organization']"
False,Person,Ron DeSantis,Person,Charlie Crist,Events [Entity Service],2022 United States midterm elections,Events [Entity Service],"Florida's gubernatorial election, 2022",Politician,Ron DeSantis,Politician,Charlie Crist,"[0.8157, 'CNN', 'Organization']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,"[0.7818, 'CNNelection', 'Organization']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,"[0.5433, 'Powerball', 'Other']"
False,Business Taxonomy,Publisher & News Business,Unified Twitter Taxonomy,Science,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,"[0.4698, 'Storm Nicole', 'Other']"
False,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,News Vertical,Russia national news,Unified Twitter Taxonomy,US Political News,Unified Twitter Taxonomy,Russia national news,Person,Vladimir Putin,"[0.78, 'Yevgeny Prigozhin', 'Person']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],Services,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Brand,Twitter,"[0.9816, 'Twitter', 'Other']"
False,Person,Kari Lake,Events [Entity Service],2022 United States midterm elections,Events [Entity Service],"Arizona's gubernatorial election, 2022",Politician,Kari Lake,Political Race,2022 United States midterm elections,Political Race,"Arizona's gubernatorial election, 2022","[0.8363, 'Kari Lake', 'Person']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,"[0.9572, 'Aaron Carter', 'Person']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,"[0.9824, 'Lake Victoria', 'Place']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,"[0.5538, 'Precision Air', 'Other']"
False,TV Shows,MLB Baseball,TV Shows,MLB Baseball,Sports Event,MLB World Series,Sports Event,Phillies at Astros,Sport,Baseball,Sports Team,Houston Astros,"[0.9453, 'Houston Astros', 'Organization']"
False,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,"[0.9621, 'Aaron Carter', 'Person']"
False,Person,Donald Trump,Events [Entity Service],January 6 Committee Hearings,Politician,Donald Trump,Business Taxonomy,Publisher & News Business,News Vertical,Political News,News Vertical,US Political News,"[0.9732, 'Donald Trump', 'Person']"
False,Person,Donald Trump,Politician,Donald Trump,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Donald Trump,Unified Twitter Taxonomy,Politics,"[0.9655, 'Tom Barrack', 'Person']"
False,Business Taxonomy,Publisher & News Business,Interests and Hobbies,Federal Reserve,News Vertical,US Political News,Political Body,Federal Reserve,Unified Twitter Taxonomy,Global Economy,Unified Twitter Taxonomy,Politics,"[0.9351, 'US', 'Place']"
False,Business Taxonomy,Financial Services Business,Business Taxonomy,Publisher & News Business,Business Taxonomy,Technology Business,News Vertical,News,News Vertical,Business & finance news,Unified Twitter Taxonomy,Business & finance,"[0.9645, 'Elon Musk', 'Person']"
False,TV Shows,NBA Basketball,TV Shows,NBA Basketball,Sports Event,Nets at Wizards,Sport,Basketball,Sports Team,Brooklyn Nets,Sports League,NBA,"[0.9734, 'Brooklyn Nets', 'Organization']"
False,Person,Nancy Pelosi,Politician,Nancy Pelosi,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Nancy Pelosi,"[0.9315, 'Paul Pelosi', 'Person']"
False,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Political Body,Federal Bureau of Investigation,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Federal Bureau of Investigation,Unified Twitter Taxonomy,Government institutions,"[0.9779, 'FBI', 'Organization']"
False,Brand Vertical,Business & finance,Entities [Entity Service],Banking - Business & finance,Business Taxonomy,Financial Services Business,Business Taxonomy,Publisher & News Business,Brand,Bank of England,Interests and Hobbies,Inflation,"[0.8628, 'Bank of England', 'Organization']"
False,Person,Imran Khan,Politician,Imran Khan,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,News Vertical,Pakistan national news,Unified Twitter Taxonomy,Politics,"[0.9423, 'Pakistan', 'Place']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,"[0.4601, 'Parkland', 'Place']"
False,Business Taxonomy,Publisher & News Business,Interests and Hobbies,Federal Reserve,Interests and Hobbies,Inflation,News Vertical,US Political News,Political Body,Federal Reserve,Unified Twitter Taxonomy,Politics,"[0.7435, 'Fed', 'Organization']"
False,Person,Joe Biden,Person,Donald Trump,Person,Clarence Thomas,Events [Entity Service],January 6 Committee Hearings,Politician,Joe Biden,Politician,Donald Trump,"[0.9465, 'Trump', 'Person']"
False,Sports League,EFL Championship,Business Taxonomy,Food & Beverage Business,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,Interests and Hobbies,Cuisines,News Vertical,US Political News,"[0.9858, 'Russia', 'Place']"
False,Brand Vertical,Retail industry,Entities [Entity Service],Grocery/Convenience - Retail,Entities [Entity Service],Multi-Purpose Department - Retail,Business Taxonomy,Financial Services Business,Business Taxonomy,Publisher & News Business,Brand,Walmart,"[0.7079, 'CVS', 'Organization']"
False,Person,Nancy Pelosi,Politician,Nancy Pelosi,Business Taxonomy,Financial Services Business,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Politics,"[0.9661, 'Paul Pelosi', 'Person']"
False,Person,Benjamin Netanyahu,Politician,Benjamin Netanyahu,Business Taxonomy,Publisher & News Business,Brand,The Verge,News Vertical,US Political News,Unified Twitter Taxonomy,Politics,"[0.9807, 'Benjamin Netanyahu', 'Person']"
False,Person,Jair Bolsonaro,Events [Entity Service],Brazil General Elections 2022,Politician,Jair Bolsonaro,Political Race,Brazil General Elections 2022,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,"[0.9792, 'Jair Bolsonaro', 'Person']"
False,Business Taxonomy,Publisher & News Business,States,New Jersey,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,"[0.8784, 'Newark', 'Place']"
False,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,US Political News,Person,Lindsey Graham,Politician,Lindsey Graham,Brand Vertical,Entertainment,"[0.4767, 'Court', 'Place']"
False,Person,Takeoff,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Publisher & News Business,Musician,Takeoff,Music Genre,Rap,Unified Twitter Taxonomy,Rap,"[0.6003, 'Migos', 'Organization']"
False,Person,Donald Trump,Politician,Donald Trump,Business Taxonomy,Financial Services Business,Business Taxonomy,Publisher & News Business,Interests and Hobbies,Taxes,News Vertical,US Political News,"[0.4617, 'Supreme Court', 'Organization']"
False,Entities [Entity Service],Aerospace,Business Taxonomy,"Automotive, Aircraft & Boat Business",Business Taxonomy,Publisher & News Business,Brand,SpaceX,Interests and Hobbies Vertical,Careers,Entities [Entity Service],Science,"[0.7943, 'SpaceX', 'Organization']"
False,Person,Nancy Pelosi,Politician,Nancy Pelosi,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Nancy Pelosi,"[0.9668, 'Paul Pelosi', 'Person']"
False,Person,Donald Trump,Politician,Donald Trump,Business Taxonomy,Financial Services Business,Business Taxonomy,Publisher & News Business,Interests and Hobbies,Taxes,News Vertical,US Political News,"[0.9378, 'Trump', 'Person']"
False,Sports League,EFL Championship,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,News Vertical,US Political News,News Vertical,Russia national news,Ongoing News Story,Russo-Ukrainian conflict,"[0.9794, 'Russia', 'Place']"
False,Business Taxonomy,Publisher & News Business,News Vertical,Brazil national news,News Vertical,US Political News,Unified Twitter Taxonomy,Brazil national news,Unified Twitter Taxonomy,US Political News,Person,"Luiz Inácio ""Lula"" da Silva","[0.9782, 'Luiz Inácio Lula da Silva', 'Person']"
False,Business Taxonomy,Publisher & News Business,News Vertical,India national news,Unified Twitter Taxonomy,India national news,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,"[0.975, 'India', 'Place']"
False,Person,Nancy Pelosi,Politician,Nancy Pelosi,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Nancy Pelosi,"[0.9657, 'Nancy Pelosi', 'Person']"
False,Business Taxonomy,Publisher & News Business,News Vertical,Korean national news,Unified Twitter Taxonomy,Korean national news,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,"[0.8732, 'US', 'Place']"
False,Person,Nancy Pelosi,Politician,Nancy Pelosi,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Nancy Pelosi,"[0.9405, 'Nancy Pelosi', 'Person']"
False,Events [Entity Service],Halloween ,Business Taxonomy,Publisher & News Business,News Vertical,Korean national news,Holiday,Holidays,Unified Twitter Taxonomy,Holidays,Unified Twitter Taxonomy,Korean national news,"[0.9688, 'South Korea', 'Place']"
False,Events [Entity Service],Halloween ,Business Taxonomy,Publisher & News Business,News Vertical,Korean national news,Holiday,Holidays,Unified Twitter Taxonomy,Holidays,Unified Twitter Taxonomy,Korean national news,"[0.649, 'Halloween', 'Other']"
False,Events [Entity Service],Halloween ,Business Taxonomy,Publisher & News Business,News Vertical,Korean national news,Holiday,Holidays,Unified Twitter Taxonomy,Holidays,Unified Twitter Taxonomy,Korean national news,"[0.9553, 'South Korea', 'Place']"
False,Sports League,EFL Championship,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,News Vertical,US Political News,News Vertical,Russia national news,Ongoing News Story,Russo-Ukrainian conflict,"[0.9899, 'Russia', 'Place']"
False,Person,Nancy Pelosi,Politician,Nancy Pelosi,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Nancy Pelosi,"[0.9664, 'Paul Pelosi', 'Person']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,"[0.8848, 'Pittsburgh', 'Place']"
False,Business Taxonomy,Entertainment & Leisure Business,Business Taxonomy,Publisher & News Business,Music Genre,Rock,Music Genre,Classic rock,Unified Twitter Taxonomy,Rock,Unified Twitter Taxonomy,Music,"[0.948, 'Jerry Lee Lewis', 'Person']"
False,Business Taxonomy,Publisher & News Business,Brand Vertical,Entertainment,Entities [Entity Service],TV/Movies Related - Entertainment,Brand,CNN,Unified Twitter Taxonomy,CNN,Unified Twitter Taxonomy,News,"[0.9592, 'Paul Pelosi', 'Person']"
False,Person,Tom Brady,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,Business Taxonomy,"Textile, Apparel & Luxury Good Business",Athlete,Tom Brady,Unified Twitter Taxonomy,American football,"[0.7656, 'Gisele Bündchen', 'Person']"
False,Business Taxonomy,Publisher & News Business,Interests and Hobbies,Federal Reserve,Interests and Hobbies,Inflation,News Vertical,US Political News,Political Body,Federal Reserve,Unified Twitter Taxonomy,Global Economy,"[0.9498, 'US', 'Place']"
False,Person,Nancy Pelosi,Politician,Nancy Pelosi,Business Taxonomy,Publisher & News Business,News Vertical,US Political News,Unified Twitter Taxonomy,Politics,Unified Twitter Taxonomy,Nancy Pelosi,"[0.9355, 'Paul Pelosi', 'Person']"
False,Sports League,EFL Championship,Business Taxonomy,Publisher & News Business,Business Taxonomy,Sports & Fitness Business,News Vertical,US Political News,News Vertical,Russia national news,Ongoing News Story,Russo-Ukrainian conflict,"[0.9827, 'Moscow', 'Place']"
False,Person,Parag Agrawal,Business Taxonomy,Financial Services Business,Business Taxonomy,Publisher & News Business,Business Taxonomy,Technology Business,News Vertical,News,News Vertical,Business & finance news,"[0.9674, 'Elon Musk', 'Person']"
